"es_id","study","species","category","yi","vi","resid"
181,44,"Oncorhynchus_tshawytscha","quality",-0.274506065,0.112501686,-0.0234626668539467
186,1,"Oncorhynchus_tshawytscha","quantity",0.344988799,0.405950864,0.729520794181451
206,41,"Oncorhynchus_tshawytscha","quality",-0.413897517,0.145916271,-0.162854118853947
207,41,"Oncorhynchus_tshawytscha","quality",0.086388953,0.142990412,0.337432351146053
77,47,"Parablennius_parvicornis","gsi",-1.543391666,0.279331666,1.09497839010111
34,11,"Parablennius_sanguinolentus_parvicornis","gsi",-1.983625962,0.373304344,0.654744094101108
35,11,"Parablennius_sanguinolentus_parvicornis","quality",0.48740871,0.307918908,0.738452108146053
129,15,"Poecilia_parae","quantity",-0.691057469,0.115277049,-0.306525473818549
131,15,"Poecilia_parae","quality",-0.053771715,0.108862602,0.197271683146053
132,15,"Poecilia_parae","quality",1.021662582,0.12292886,1.27270598014605
133,15,"Poecilia_parae","quality",-1.381429165,0.134611996,-1.13038576685395
134,15,"Poecilia_parae","quality",-1.148550419,0.126650125,-0.897507020853947
15,6,"Poecilia_reticulata","quantity",-0.172413653,0.103012688,0.212118342181451
16,6,"Poecilia_reticulata","allocation",7.943450667,0.911585534,5.21054919181825
195,43,"Porichthys_notatus","quality",0.99993193,0.129415348,1.25097532814605
196,43,"Porichthys_notatus","quality",1.163327626,0.179871753,1.41437102414605
197,43,"Porichthys_notatus","quality",-0.835441692,0.167268516,-0.584398293853947
198,43,"Porichthys_notatus","quality",0.37619963,0.156567811,0.627243028146053
199,43,"Porichthys_notatus","quality",-0.043568967,0.157612262,0.207474431146053
200,43,"Porichthys_notatus","quality",-1.423340458,0.1454,-1.17229705985395
201,43,"Porichthys_notatus","quantity",-0.787346565,0.1244,-0.402814569818549
182,10,"Rhodeus_amarus","quality",0.356078009,0.156284453,0.607121407146053
183,10,"Rhodeus_amarus","quality",0.248590173,0.155034559,0.499633571146053
184,10,"Rhodeus_amarus","quality",0.413283963,0.157130839,0.664327361146053
185,10,"Rhodeus_amarus","quality",-0.166577829,0.154379773,0.0844655691460533
89,3,"Rhodeus_sericeus","allocation",-0.075026078,0.05006645,-2.80792755318175
141,4,"Salaria_pavo","gsi",-2.99672003,0.189067169,-0.358349973898892
142,4,"Salaria_pavo","gsi",-3.618975073,0.207341177,-0.980605016898892
143,4,"Salaria_pavo","quantity",4.163233045,0.21517271,4.54776504018145
144,4,"Salaria_pavo","quantity",1.784922416,0.132537533,2.16945441118145
169,40,"Salaria_pavo","quality",0.364354958,0.082361095,0.615398356146053
1,12,"Salmo_salar","gsi",-2.2219343,0.281568338,0.416435756101108
2,12,"Salmo_salar","quantity",14.01764656,1.381998367,14.4021785551815
3,12,"Salmo_salar","quantity",10.21863933,0.784116384,10.6031713251815
4,12,"Salmo_salar","quantity",-48.94699197,15.66325556,-48.5624599748185
5,12,"Salmo_salar","quantity",-23.53127636,3.701651301,-23.1467443648185
6,12,"Salmo_salar","quality",-1.854642306,0.24901847,-1.60359890785395
7,12,"Salmo_salar","quality",-1.596435975,0.229646942,-1.34539257685395
8,12,"Salmo_salar","quality",-1.438057155,0.219199128,-1.18701375685395
9,12,"Salmo_salar","quality",-2.004534836,0.261593727,-1.75349143785395
10,12,"Salmo_salar","quality",-0.298495313,0.404454973,-0.0474519148539467
11,12,"Salmo_salar","quality",-1.438530168,0.203725043,-1.18748676985395
14,22,"Salmo_salar","quality",-0.370909754,0.170698294,-0.119866355853947
41,28,"Salmo_salar","gsi",-3.038367387,0.215395955,-0.399997330898892
42,28,"Salmo_salar","quantity",-1.952214497,0.147639268,-1.56768250181855
43,28,"Salmo_salar","quality",-6.872932431,0.812311768,-6.62188903285395
44,28,"Salmo_salar","quality",-0.526304104,0.12172053,-0.275260705853947
45,28,"Salmo_salar","quality",1.033604507,0.156514864,1.28464790514605
46,28,"Salmo_salar","quality",-1.472974275,0.175503052,-1.22193087685395
47,28,"Salmo_salar","quality",0,0.166666667,0.251043398146053
67,50,"Salmo_salar","quality",0.433234072,0.298369944,0.684277470146053
68,50,"Salmo_salar","quality",-0.24171811,0.293753368,0.0093252881460533
69,50,"Salmo_salar","quality",-0.37476802,0.296682776,-0.123724621853947
70,50,"Salmo_salar","quality",-0.993370213,0.3319,-0.742326814853947
71,50,"Salmo_salar","quality",-2.241753191,0.4965,-1.99070979285395
72,50,"Salmo_salar","quality",-0.35387234,0.2968,-0.102828941853947
157,49,"Salmo_salar","quantity",2.319991775,0.304144587,2.70452377018145
158,49,"Salmo_salar","quantity",-1.798381589,0.25532219,-1.41384959381855
159,49,"Salmo_salar","gsi",-2.131814579,0.285105305,0.506555477101108
160,49,"Salmo_salar","quality",-2.436251435,0.316711842,-2.18520803685395
74,30,"Salvelinus_alpinus","quantity",0.297129228,0.101103572,0.681661223181451
75,30,"Salvelinus_alpinus","quantity",-1.133131081,0.116049826,-0.748599085818549
76,30,"Salvelinus_alpinus","quantity",-0.386920172,0.10187134,-0.00238817681854891
104,16,"Salvelinus_alpinus","quality",0.041840369,0.08697555,0.292883767146053
79,26,"Scartella_cristata","gsi",-4.053342824,0.612759903,-1.41497276789889
202,45,"Sufflogobius_bibarbatus","gsi",-3.155989301,0.086954962,-0.517619244898892
203,45,"Sufflogobius_bibarbatus","quality",2.886692502,0.079940846,3.13773590014605
205,45,"Sufflogobius_bibarbatus","quality",78.62408744,26.68948452,78.875130838146
24,24,"Symphodus_melops","gsi",-8.08795576,0.2546,-5.44958570389889
25,24,"Symphodus_melops","gsi",-4.978640884,0.1204,-2.34027082789889
36,34,"Symphodus_melops","gsi",-4.765514214,0.313402643,-2.12714415789889
37,34,"Symphodus_melops","quantity",-0.483465292,0.084051755,-0.0989332968185489
38,34,"Symphodus_melops","quality",-0.477785463,0.09350317,-0.226742064853947
65,48,"Symphodus_melops","gsi",-4.509552797,0.360867497,-1.87118274089889
66,48,"Symphodus_melops","quality",0.099798561,0.1083,0.350841959146053
96,17,"Telmatochromis_temporalis","gsi",-5.231352202,0.271467857,-2.59298214589889
99,9,"Telmatochromis_vittatus","gsi",-1.093582508,0.119057424,1.54478754810111
105,27,"Telmatochromis_vittatus","quality",-0.547131454,0.24208159,-0.296088055853947
106,27,"Telmatochromis_vittatus","quality",0.138165754,0.234296505,0.389209152146053
107,27,"Telmatochromis_vittatus","quality",0.095694265,0.234020606,0.346737663146053
137,25,"Telmatochromis_vittatus","quality",-0.257632786,0.203503426,-0.00658938785394669
138,25,"Telmatochromis_vittatus","quality",1.270904788,0.321789715,1.52194818614605
139,25,"Telmatochromis_vittatus","quality",-0.320374441,0.198761294,-0.0693310428539467
140,25,"Telmatochromis_vittatus","quality",-1.712418676,0.311404681,-1.46137527785395
13,19,"Thalassoma_bifasciatum","allocation",-2.033890236,0.101812646,-4.76679171118175
17,32,"Thalassoma_bifasciatum","quantity",-1.062698611,0.068327228,-0.678166615818549
18,32,"Thalassoma_bifasciatum","quantity",0.204677442,0.061173047,0.589209437181451
147,8,"Xiphophorus_nigrensis","quality",-0.327925166,0.106970489,-0.0768817678539467
148,8,"Xiphophorus_nigrensis","quality",-0.28227124,0.106603938,-0.0312278418539467
149,8,"Xiphophorus_nigrensis","quality",-0.594537197,0.110206536,-0.343493798853947
150,8,"Xiphophorus_nigrensis","quality",0.06978771,0.104227546,0.320831108146053
151,8,"Xiphophorus_nigrensis","quality",-0.921368478,0.114778165,-0.670325079853947
152,8,"Xiphophorus_nigrensis","quality",-0.086915079,0.104261095,0.164128319146053
153,8,"Xiphophorus_nigrensis","quality",-0.346949397,0.10567134,-0.0959059988539467
154,8,"Xiphophorus_nigrensis","quality",-0.93480762,0.123592126,-0.683764221853947
155,8,"Xiphophorus_nigrensis","quality",-0.759406965,0.148500538,-0.508363566853947
156,8,"Xiphophorus_nigrensis","quantity",0.587412587,0.1103,0.971944582181451
52,5,"Zosterisessor_ophiocephalus","allocation",0.284449741,0.161838059,-2.44845173418175
53,5,"Zosterisessor_ophiocephalus","allocation",0.085443755,0.160815683,-2.64745772018175
54,5,"Zosterisessor_ophiocephalus","allocation",0.418442555,0.163146149,-2.31445892018175
55,5,"Zosterisessor_ophiocephalus","allocation",0.530851328,0.164628218,-2.20205014718175
100,35,"Zosterisessor_ophiocephalus","gsi",-1.877800505,0.218707882,0.760569551101108
101,35,"Zosterisessor_ophiocephalus","quality",2.708316889,0.289242061,2.95936028714605
109,46,"Zosterisessor_ophiocephalus","quality",0.240625749,0.134298346,0.491669147146053
113,46,"Zosterisessor_ophiocephalus","quality",0,0.142857143,0.251043398146053
114,46,"Zosterisessor_ophiocephalus","quality",0.043684324,0.14289122,0.294727722146053
115,46,"Zosterisessor_ophiocephalus","quality",-0.13013459,0.143159554,0.120908808146053
117,46,"Zosterisessor_ophiocephalus","quality",0,0.181818182,0.251043398146053
